idT,idM,idK,rmsX,rmsY,rmsZ,aRms,aPeakX,aPeakY,aPeakZ,aPeak,latitude,longitude,vreme,brzina,maxX,maxY,maxZ,opis
3948,96,13,0.1378,0.1328,0.3768,0.4226,-0.1167,-0.1079,-1.8262,1.8331,43.8849649,20.3796283,2016-01-19-07-27-21,60.0038,-0.504308403,0.51895833,-1.826171398,its vezbe
3949,96,13,0.13,0.103,0.2752,0.3214,0.5263,0.0328,-0.8849,1.0301,43.8860333,20.3809683,2016-01-19-07-27-31,61.4547,-0.940353096,-0.400054127,-0.884907722,its vezbe
3950,96,13,0.1093,0.1145,0.3973,0.4276,0.2502,0.0613,1.3527,1.377,43.8873816,20.38212,2016-01-19-07-27-41,59.2923,-0.319816172,-0.38293457,1.352664948,its vezbe
3951,96,13,0.1262,0.1151,0.3814,0.4179,0.694,0.1426,1.8881,2.0167,43.888675,20.3830666,2016-01-19-07-27-51,53.7111,0.693957806,-0.533156216,1.888121605,its vezbe
3952,96,13,0.0934,0.1029,0.1975,0.2415,0.3004,0.1967,0.5095,0.6233,43.8895416,20.383765,2016-01-19-07-27-59,50.2534,0.300406814,0.34335649,0.509549141,its vezbe
3953,96,13,0.1148,0.1103,0.2177,0.2697,0.0771,-0.0007,0.6091,0.614,43.8908616,20.3848266,2016-01-19-07-28-10,59.5536,-0.432085365,-0.426118076,0.609130859,its vezbe
3954,96,13,0.115,0.117,0.3497,0.3863,0.0518,0.1705,1.524,1.5344,43.8922983,20.3858866,2016-01-19-07-28-22,61.805,-0.500200272,-0.429185629,1.524018288,its vezbe
3955,96,13,0.1398,0.1316,0.2854,0.344,0.2548,-0.0342,1.2952,1.3205,43.8931566,20.3866216,2016-01-19-07-28-28,61.4788,0.446414709,0.354396701,1.295203209,its vezbe
3956,96,13,0.1268,0.1324,0.3531,0.3978,-0.1198,-0.1563,1.2292,1.2449,43.8944166,20.3879083,2016-01-19-07-28-38,63.0131,-0.428076208,0.452793002,1.229214668,its vezbe
3957,96,13,0.129,0.121,0.352,0.3939,-0.1521,0.3198,1.1121,1.1671,43.8959416,20.389955,2016-01-19-07-28-51,64.8513,-0.360159934,0.395978212,-1.115169525,its vezbe
